Игра,Канал,Тип кампании,Старт,Длительность,Конец,Ранняя дата,Поздняя дата,Платформа,База,Приоритет,Статус,Менеджер,Комментарий
Алхимия,БНГ квадрат АО,есть,2026-03-03,5,2026-03-08,2026-03-03,2026-03-03,АМ+АО,АКБ,,запущено,,деактивировать старые!
Алхимия,БНГ квадрат АМ,есть,2026-03-03,5,2026-03-08,2026-03-03,2026-03-03,АМ+АО,АКБ,,запущено,,
Алхимия,Попап,нет,2026-03-03,5,2026-03-08,2026-03-03,2026-03-03,АМ+АО,АКБ,,запущено,,
Алхимия,WN,нет,2026-03-03,5,2026-03-08,2026-03-03,2026-03-03,АМ+АО,АКБ,,запущено,,
Суперигра,WN,нет,2026-03-04,5,2026-03-09,2026-03-04,2026-03-04,АМ+АО,Победители,,запущено,,
Суперигра,WN,нет,2026-03-04,5,2026-03-09,2026-03-04,2026-03-04,АМ+АО,Победители,,запущено,,
Суперигра,WN,,2026-03-04,5,2026-03-09,2026-03-04,2026-03-04,АМ+АО,Клиенты с остатками КБ,,запущено,,ПИЛОТ по видео
Суперигра,Попап,,2026-03-04,5,2026-03-09,2026-03-04,2026-03-04,АМ+АО,Клиенты с остатками КБ,,запущено,,ПИЛОТ по видео
КНБ,SPLASH,есть,2026-03-05,5,2026-03-10,2026-03-05,2026-03-05,АМ+АО,Клиенты с остатками КБ,,запущено,,ТУРНИР
КНБ,БНГ квадрат АО,есть,2026-03-05,5,2026-03-10,2026-03-05,2026-03-05,АМ+АО,Клиенты с остатками КБ,,запущено,,ТУРНИР
КНБ,БНГ квадрат АМ,есть,2026-03-05,5,2026-03-10,2026-03-05,2026-03-05,АМ+АО,Клиенты с остатками КБ,,запущено,,ТУРНИР
КНБ,WN,есть,2026-03-05,5,2026-03-10,2026-03-05,2026-03-05,АМ+АО,Клиенты с остатками КБ,,запущено,,ТУРНИР
КНБ,PUSH,есть,2026-03-05,5,2026-03-10,2026-03-05,2026-03-05,АМ+АО,Клиенты с остатками КБ,,запущено,,ТУРНИР
Алхимия,МегаБаннер Витрина,,2026-03-05,5,2026-03-10,2026-03-05,2026-03-05,АМ+АО,АКБ,,запущено,,
Алхимия,Мегабаннер Выгода,,2026-03-05,5,2026-03-10,2026-03-05,2026-03-05,АМ+АО,АКБ,,запущено,,
Алхимия,PUSH,,2026-03-06,5,2026-03-11,2026-03-06,2026-03-06,АМ+АО,АКБ,,запущено,,
Матрёшки,БНГ квадрат АМ,,2026-03-09,5,2026-03-14,2026-03-09,2026-03-09,АМ+АО,Клиенты с план. начислением КБ,,запущено,,
Матрёшки,БНГ квадрат АО,,2026-03-09,5,2026-03-14,2026-03-09,2026-03-09,АМ+АО,Клиенты с план. начислением КБ,,запущено,,
Суперигра,Экраны успеха АМ,,2026-03-10,5,2026-03-15,2026-03-10,2026-03-10,АМ+АО,Клиенты с план. начислением КБ,,запущено,,
Суперигра,Экраны успеха АО,,2026-03-10,5,2026-03-15,2026-03-10,2026-03-10,АМ+АО,Клиенты с план. начислением КБ,,запущено,,
